headphones;width;height;fov;fps;stereopsis;antialiasing;textures;lightMode;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;locomotion;ambientSound;reverbZone;spatialSound;time;totalImmersion
1;1584.5;880.2778;36;21;0;0;0;0;0.07345283;-0.4487625;-0.05136096;0.9257939;0.5305911;1;0;0;1;2;0;0;0;1135;8
1;1251.042;695.0234;43;52;1;0;0;0;0.7963064;0.03849685;0.5844665;0.4009654;0.4921966;1;0;0;1;2;0;1;1;689;23
1;2002.036;1112.242;43;41;1;1;0;1;0.5190909;0.1074041;-0.0327903;0.08226418;0.9749266;0;0;0;1;2;0;1;1;745;33
1;761.2791;422.9328;44;21;1;1;1;0;-0.2800735;-0.6863533;0.07795209;0.4341298;0.05107927;1;0;0;1;2;1;0;0;1174;59
1;940.6362;522.5756;79;42;1;0;0;1;-0.3859149;-0.7617167;0.4298828;0.8076158;0.8602647;0;0;0;0;2;0;0;0;1062;29
1;1753.403;974.113;44;58;0;1;0;0;-0.153309;0.266897;-0.5715461;0.6152479;0.6462737;0;1;0;0;2;1;0;0;1141;36
1;2105.818;1169.899;76;52;0;1;0;1;0.09758699;-0.3552223;0.520026;0.4409971;0.7977577;1;1;1;1;2;1;0;1;806;38
1;500.3515;277.9731;71;39;0;0;0;0;-0.4047824;-0.7190966;0.009562016;0.5302458;0.476152;0;0;0;0;3;0;1;0;899;47
2;1824.323;1013.513;99;52;0;0;0;0;-0.7036471;-0.5402325;0.7697895;0.860101;0.1279151;0;0;0;1;1;0;0;0;1117;34
2;1377.136;765.0755;52;41;1;0;1;0;0.1573733;-0.3721338;-0.2092458;0.05964029;0.850239;1;0;0;0;3;1;0;1;1143;73
2;1827.044;1015.024;87;28;0;0;1;1;-0.5708735;0.3234015;-0.2373189;0.7333782;0.8431407;0;1;1;0;2;0;1;1;924;53
2;2148.283;1193.491;53;16;0;0;0;0;0.4331217;0.01952869;0.437677;0.3737336;0.6204836;1;0;1;0;3;1;0;0;1145;38
2;1613.973;896.6518;75;51;1;0;0;1;-0.566268;0.2946565;0.1484219;0.6024725;0.8823922;1;1;0;1;2;0;1;1;710;58
2;2054.252;1141.251;74;30;0;1;1;1;0.8461623;0.2385872;0.5448269;0.637851;0.1754835;1;0;1;0;1;1;1;1;618;48
2;849.9962;472.2201;94;40;0;0;0;0;0.5071795;0.07727289;0.6302353;0.5000883;0.1033361;1;0;0;0;2;1;1;0;787;19
2;528.3699;293.5388;37;16;0;0;0;1;-0.8286271;0.4487217;0.1321948;0.3549576;0.5511689;1;1;0;0;3;0;0;1;560;18
2;357.7173;198.7318;59;31;0;1;0;1;0.1367739;0.4506437;-0.5431123;0.4214337;0.9748045;0;0;1;1;3;1;1;1;784;20
2;384.2569;213.476;99;19;1;0;1;1;0.7942781;-0.7632772;0.453809;0.6067762;0.8177881;1;0;1;0;2;0;1;1;874;35
2;713.2012;396.2229;38;24;1;1;0;0;-0.3352767;0.6080725;-0.4141783;0.5626543;0.7538321;0;1;0;0;1;1;1;0;1154;27
2;2041.246;1134.026;56;42;0;1;0;1;0.8082106;0.7406151;0.1297539;0.9814095;0.9010404;0;1;0;1;2;1;1;1;779;40
2;2023.198;1123.999;42;38;0;0;1;1;0.8344781;-0.1395684;-0.5056335;0.1676991;0.7465441;0;0;1;0;2;0;1;0;711;60
2;1433.905;796.6138;82;21;1;1;1;0;-0.1980072;0.4001213;0.782922;0.7370318;0.5304185;1;1;0;1;2;0;1;0;924;72
2;1539.517;855.2873;45;27;0;1;1;1;0.1453708;0.05435801;-0.457707;0.5366347;0.6782238;0;0;1;1;2;0;0;0;1131;46
2;1171.615;650.8975;41;38;1;1;1;0;-0.05220854;0.7295962;-0.1419873;0.6517206;0.9043623;0;1;0;1;3;0;0;1;1058;95
2;985.0536;547.252;58;40;1;1;0;1;0.3401863;0.3323625;0.3348198;0.6435099;0.8754277;1;1;0;1;3;0;1;1;662;44
2;1923.475;1068.597;69;29;0;1;0;0;-0.4574596;-0.2170337;-0.4553623;0.4628283;0.2478254;0;1;0;0;3;0;0;0;836;38
2;1026.973;570.5406;64;29;1;0;0;0;-0.2172016;-0.6866091;-0.2280229;0.817968;0.310343;0;0;0;0;2;1;1;0;1030;40
2;846.6728;470.3738;40;22;0;0;0;1;-0.6778526;0.2896732;-0.285101;0.2918069;0.1225624;0;1;1;0;2;0;1;0;1045;31
2;1554.058;863.3655;53;44;0;0;0;0;0.0319134;-0.5324247;0.4546015;0.3647401;0.8657165;0;1;0;1;2;1;1;0;1138;33
2;286.6695;159.2608;81;59;0;0;1;1;0.1293148;-0.1585517;-0.01410913;0.2870061;0.6524947;1;1;1;0;2;1;1;1;635;66
2;1714.976;952.7645;47;56;1;1;1;0;-0.5430303;0.4171743;0.618753;0.8239038;0.2291039;1;0;1;1;1;1;1;1;603;62
2;523.0182;290.5657;49;49;1;1;1;0;0.2272297;0.6601618;0.4084032;0.8417037;0.9559555;0;1;0;0;3;1;0;1;1008;78
2;948.9379;527.1877;48;20;0;1;0;1;-0.4093465;0.2417984;-0.1913615;0.4918247;0.3971583;0;1;1;1;1;0;0;0;887;31
2;1622.267;901.2595;96;21;0;0;1;1;-0.2387339;0.3652544;0.02283925;0.3384718;0.9431874;1;0;1;0;1;0;1;1;938;40
2;1896.376;1053.542;91;56;0;1;0;0;0.2147564;0.4688268;-0.3956237;0.4237171;0.5756982;0;1;0;0;2;0;0;1;1071;41
2;1003.877;557.7094;83;38;1;0;0;1;0.2008728;0.4740402;-0.1888543;0.9293126;0.7455699;1;1;1;0;3;1;1;1;860;58
1;1090.587;605.8819;46;43;0;1;0;0;0.8373539;-0.1724132;-0.1208014;0.1006291;0.3321323;0;1;1;1;2;0;0;1;408;28
1;420.4389;233.5772;92;52;0;0;0;1;-0.4431552;-0.05298626;0.299707;0.6759447;0.8301846;0;0;0;1;2;0;0;1;868;32
1;225.9471;125.5262;82;47;0;0;0;1;-0.330278;-0.02883995;-0.3037891;0.3760676;0.04241073;1;1;1;0;1;0;1;0;711;15
1;1221.993;678.8852;39;40;1;0;0;1;0.2439951;-0.4764339;0.306826;0.8096856;0.3586776;0;1;0;0;2;1;1;0;536;63
1;343.9005;191.0558;86;46;1;0;1;1;-0.9596889;0.3559194;-0.752974;0.2867737;0.5130304;1;1;1;1;2;0;0;0;850;41
1;1896.509;1053.616;41;45;1;1;0;0;0.34062;0.6984869;0.2271087;0.7288928;0.2618375;1;1;1;0;3;1;0;0;860;53
1;1118.735;621.5193;98;16;0;1;0;0;0.793648;0.3550407;-0.4207895;0.9385254;0.3150952;1;0;0;1;1;1;1;1;1078;11
1;2109.411;1171.895;67;52;1;1;0;1;0.9217408;0.5514734;-0.1283938;0.4774781;0.6019995;0;0;1;0;1;0;1;0;920;63
1;482.0645;267.8136;60;50;0;0;1;1;-0.7883978;-0.1244518;0.7927757;0.3536201;0.9550687;0;0;0;1;3;1;1;1;603;62
1;1509.456;838.5865;95;31;1;1;1;1;-0.5250609;-0.2914649;-0.627582;0.8719828;0.5929071;0;0;0;1;2;0;1;0;1122;58
1;1354.925;752.7358;87;16;1;1;0;0;-0.4663526;-0.2067191;0.1963605;0.3002372;0.7068186;0;1;0;1;1;1;1;0;995;9
1;1170.39;650.2166;77;34;1;0;0;1;0.4588828;0.1877515;-0.3521032;0.6859796;0.1141723;1;0;0;0;1;0;1;1;950;31
1;276.0963;153.3868;54;58;1;1;1;1;0.3845994;0.4962106;0.4437029;0.2448586;0.2291613;1;0;1;1;2;1;0;0;1074;56
1;1640.635;911.4642;89;22;0;0;0;0;-0.6822584;0.1185098;0.3160372;0.3212289;0.4175922;0;1;1;1;3;1;1;1;753;53
1;886.4202;492.4557;31;41;1;1;0;1;-0.7155993;0.7958661;-0.2600936;0.2647319;0.5207095;1;1;0;0;2;0;1;1;575;35
2;619.7681;344.3156;51;33;1;0;0;1;0.2772617;-0.2785827;-0.2197814;0.2236328;0.3869845;1;0;1;0;2;1;0;1;685;69
2;244.0777;135.5987;49;43;1;1;0;1;-0.1555482;-0.2188586;-0.6403572;0.2310598;0.8442658;0;1;0;0;3;0;1;1;887;41
2;388.9868;216.1038;92;43;1;0;1;0;0.8062553;0.64534;-0.4776842;0.6610225;0.580126;1;1;0;1;1;0;0;1;1109;68
2;2086.68;1159.267;55;35;1;0;0;1;-0.1518067;-0.6234991;0.4959486;0.1737034;0.8858161;0;1;1;1;3;1;0;0;851;70
2;393.6128;218.6738;67;40;0;0;0;0;-0.5013485;-0.1525704;-0.7781863;0.6548759;0.938542;1;1;0;1;2;1;0;1;530;54
2;1971.231;1095.128;65;55;0;0;0;1;0.3427109;-0.2604291;-0.6036535;0.8749834;0.269335;0;0;1;0;2;0;0;0;855;58
2;1231.436;684.1311;37;58;0;1;1;1;-0.5942321;0.3814457;0.2285509;0.5289889;0.03744376;0;1;0;1;1;0;1;1;586;39
2;216.4104;120.228;54;58;1;1;0;1;-0.5233378;-0.1211308;-0.08657104;0.6670245;0.03485489;0;0;1;0;2;0;0;0;668;37
